Name,Screen,Main Camera,Selfie Camera,Rom,Ram,Pin,Price
Redmi Note 9 Pro 5G 6Gb/128Gb, ,Chính 108MP+8MP+2MP+2MP,16MP, 128 GB, 6GB,Pin: Li-Po 4820 mAh,6.390.000 Đ
iPhone SE Cũ 16Gb Nguyên Bản," IPS LCD, 4.0"", DVGA",12 MP,1.2 MP, 16 GB, 2 GB,Pin: Li-Po 1624 mAh,2.190.000 Đ
Oppo Reno5Pro 8GB/128GB Hàng chính hãng," OLED, 6.55"", Full HD+","Chính 64 MP & Phụ 8 MP, 2 MP, 2 MP",32MP, 256GB, 8 GB,Pin: Có sạc ngược,Liên hệ
Oppo Reno5 8GB/128GB Hàng chính hãng," 6,43 inch, OLED","Chính 64 MP & Phụ 8 MP, 2 MP, 2 MP",44MP, 128 GB, 8 GB,Pin: 4.310 mAh + Sạc nhanh 50W,8.990.000 Đ
Oppo A15 3GB/32GB Hàng chính hãng," IPS LCD, 6.52"", HD+","Chính 13 MP & Phụ 2 MP, 2 MP",5MP, 32 GB, 3 GB,Pin: Li-Po 4230 mAh,3.290.000 Đ
Xiaomi Redmi 9A 2GB/32GB Chính Hãng," 6,53 inches, IPS LCD",13MP,5MP, 32 GB, 2 GB,Pin: 5020 mAh,1.990.000 Đ
Samsung Galaxy A02S Chính Hãng," TFT LCD, 6.5"", HD+","Chính 13 MP & Phụ 2 MP, 2 MP",5MP, 32 GB, 3GB,Pin: Li-Po 5000 mAh,3.290.000 Đ
Samsung Galaxy A12 Chính Hãng," TFT LCD, 6.5"", HD+","Chính 48 MP & Phụ 5 MP, 2 MP, 2 MP",8MP, 128 GB, 4GB,Pin: Li-Po 5000 mAh,4.290.000 Đ
Samsung Galaxy S20 Ultra Chính Hãng Like New Fullbox," 6.9 inches, 114.0 cm2","Quad: 108 MP, f/1.8, 26mm (wide), PDAF, OIS Periscope 48 MP, f/3.6, 102mm (telephoto), 1/2"", 0.8µm, PDAF, OIS, 10x hybrid optical zoom 12 MP, f/2.2, 13mm (ultrawide), 0.3 MP, TOF 3D","40 MP, f/2.2, 26mm (wide), PDAF", 128GB, 12GB,Pin: Fast battery charging 45W,13.990.000 Đ
Realme 7 Pro 8GB/128GB Chính Hãng, 1080 x 2400 pixel,"Chính 64 MP & Phụ 8 MP, 2 MP, 2 MP",32MP, 128 GB, 8GB,"Pin: 4500 mAh, sạc nhanh 65W",7.490.000 Đ
Realme 7 8GB/128GB Chính Hãng, 1080 x 2400 pixel,"Chính 64MP & Phụ 8MP, 2MP, 2MP",16 MP, 128 GB, 8GB,Pin: 5000mAh,5.990.000 Đ
Samsung Galaxy S20 Plus 8Gb/128Gb Chính Hãng," 6.7 inches, 108.0 cm2","Quad: 12 MP, f/1.8, 26mm (wide), Dual Pixel PDAF, OIS 64 MP, f/2.0, (telephoto), PDAF, OIS, 3x hybrid optical zoom 12 MP, f/2.2, 13mm (ultrawide), AF, Super Steady video 0.3 MP, TOF 3D, (depth)","Dual: 10 MP, f/2.2, 26mm (wide), 1/3.2"", 1.22µm, Dual Pixel PDAF", 128 GB, 8 GB,Pin: Fast battery charging 25W,13.190.000 Đ
Vsmart Aris 8GB/128GB Chính Hãng," 6,39 inches Super AMOLED","64 MP, f / 1.9 (rộng)+8 MP, f / 2.2, 116˚ (ultrawide)+5 MP, f / 2.4, (macro )+2 MP, f / 2.4, (độ sâu)",20 MP, 128/64 GB, 6 GB,"Pin: 4000mAh, hỗ trợ sạc nhanh có dây 18W qua cổng USB C",6.890.000 Đ
Realme C17 6GB/128GB chính hãng, 6.5 inches IPS LCD,"Chính 13 & Phụ 8 MP, 2 MP, 2 MP",8MP, 128 GB, 6GB,"Pin: 5000mAh, sạc nhanh 18W",4.490.000 Đ
Xiaomi POCO X3 NFC - Chính hãng," LCD 6.67 inch, Full HD+ (1080 x 2400 Pixels)",4 Camera,20 MP, 128Gb - Ram 6Gb/64GB - Ram 6GB, 6 GB,Pin: 5180 mAh,5.490.000 Đ
Samsung Galaxy S21 8Gb/128Gb Chính Hãng, Dynamic AMOLED,3 Camera 64MP + 12MP +12MP,"40 MP, f/2.2, 26mm (wide), PDAF", 128GB, 12GB,Pin: 4000 mAh,Liên hệ
Xiaomi Poco F2 Pro Ram 6GB / 128GB Chính hãng, 6.67 inch,"64 MP, f/1.9, 26mm (wide), 1/1.72"", 0.8µm, PDAF 5 MP, f/2.2, 50mm (telephoto macro), AF 13 MP, f/2.4, 123˚ (ultrawide), 1.12µm 2 MP, f/2.4, (depth)",20 MP, 128GB, 6 GB,"Pin: Li-Po 4700 mAh battery,Fast charging 30W, 100% in 63 min",9.190.000 Đ
Realme C15 4GB/64GB Hàng chính hãng, 6.5 inches IPS LCD,"Chính 13 & Phụ 8 MP, 2 MP, 2 MP",8MP, 64 GB, 4GB,Pin: Li-Po 6000 mAh,3.540.000 Đ
Realme C12 3GB/32GB Chính Hãng, 6.5 inches IPS LCD,"Chính 13 & Phụ 8 MP, 2 MP, 2 MP",8MP, 32 GB, 3GB,Pin: Li-Po 6000 mAh,3.090.000 Đ
iPhone 7 128Gb Đã kích hoạt," IPS LCD, 4.7"", HD",12 MP,7.0 MP, 128 GB, 2 GB,Pin: Li-Po 1960 mAh,4.690.000 Đ
iPhone 7 32Gb Đã kích hoạt," IPS LCD, 4.7"", HD",12 MP,7.0 MP, 32 GB, 2 GB,Pin: Li-Po 1960 mAh,4.190.000 Đ
iPhone 7 32Gb Cũ Nguyên Bản," IPS LCD, 4.7"", HD",12 MP,7.0 MP, 32 GB, 2 GB,Pin: Li-Po 1960 mAh,3.390.000 Đ
Vsmart Joy 4 3G/64GB Hàng chính hãng," LCD IPS, 6.5 inch, 1080 x 2400 pixels",48 MP/8MP/2MP,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm", 64 GB, 3GB,"Pin: Li-Po 5000 mAh, Sạc nhanh 18W",2.990.000 Đ
OPPO A52 6GB/128GB Chính Hãng, 1080 x 2400 pixels,"Chính 12MP & phụ 8MP, 2MP, 2MP",8MP, 128 GB, 6 GB,"Pin: 5000mAh, sạc nhanh 18W",5.490.000 Đ
Vsmart Active 3 6G/64GB Chính Hãng," 6,39 inches AMOLED",Triple : 48 + 8 + 2,16 MP, 64 GB, 4GB,Pin: Non-removable Li-Po 4020 mAh battery,3.190.000 Đ
iPhone 12 Mini 64GB Chính Hãng VN/A," IPS LCD, 5.4 inch",, , 64 GB, 4 GB,Pin: Sạc không dây QI,18.790.000 Đ
iPhone 12 Mini 128GB Chính Hãng VN/A," IPS LCD, 5.4 inch",, , 128 GB, 4 GB,Pin: Sạc không dây QI,20.290.000 Đ
iPhone 12 Mini 256GB Chính Hãng VN/A," IPS LCD, 5.4 inch",, , 256 GB, 4 GB,Pin: Sạc không dây QI,22.890.000 Đ
iPhone 12 64GB Chính Hãng VN/A, Full HD+,, , 128/256/64 GB, 4 GB,Pin: Sạc không dây QI,21.650.000 Đ
iPhone 12 128GB Chính Hãng VN/A, Super Retina XDR OLED 6.1 inch,1, 12MP, 128 GB, 4 GB,Pin: Sạc không dây QI,23.150.000 Đ
iPhone 12 256GB Chính Hãng VN/A, Super Retina XDR OLED 6.1 inch,, , 256 GB, 4 GB,Pin: Sạc không dây QI,25.650.000 Đ
iPhone 12 Pro 128GB Chính Hãng VN/A, Super Retina XDR OLED 6.1 inch,, , 128 GB, 6 GB,Pin: Sạc không dây QI,27.990.000 Đ
iPhone 12 Pro 256GB Chính Hãng VN/A, Super Retina XDR OLED 6.1 inch,, , 256 GB, 6 GB,Pin: Sạc không dây QI,30.890.000 Đ
iPhone 12 Pro 512GB Chính Hãng VN/A, Super Retina XDR OLED 6.1 inch,, , 512 GB, 6 GB,Pin: Sạc không dây QI,36.090.000 Đ
iPhone 12 Pro Max 128GB Chính Hãng VN/A, Super Retina XDR OLED 6.7 inch,Camera chính 1, Camera chính 12MP, 128 GB, 6 GB,Pin: Sạc không dây QI,30.290.000 Đ
